regionid,geom
48,"POLYGON((4.426147235625696 50.8516921,4.426112729024779 50.851359723202414,4.426009799639535 50.85103303115595,4.425840208620283 50.850717613829296,4.425606857716382 50.850418868382235,4.425313739626496 50.85014190679959,4.424965869682409 50.849891468398624,4.424569200035314 50.84967183870891,4.424130517812848 50.84948677611443,4.423657328989464 50.84933944751532,4.423157729957125 50.84923237411212,4.422640268993787 50.84916738824234,4.4221138 50.84914560200942,4.421587331006213 50.84916738824234,4.421069870042874 50.84923237411212,4.420570271010536 50.84933944751532,4.420097082187152 50.84948677611443,4.419658399964686 50.84967183870891,4.41926173031759 50.849891468398624,4.418913860373504 50.85014190679959,4.418620742283618 50.850418868382235,4.418387391379717 50.850717613829296,4.418217800360465 50.85103303115595,4.418114870975221 50.851359723202414,4.418080364374303 50.8516921,4.418114870975221 50.85202447442911,4.418217800360465 50.85235115953155,4.418387391379717 50.852666565811866,4.418620742283618 50.85296529686303,4.418913860373504 50.853242241681336,4.41926173031759 50.853492662091924,4.419658399964686 50.853712273791274,4.420097082187152 50.853897319621396,4.420570271010536 50.85404463382462,4.421069870042874 50.854151696181496,4.421587331006213 50.854216675107246,4.4221138 50.85423845897167,4.422640268993787 50.854216675107246,4.423157729957125 50.854151696181496,4.423657328989464 50.85404463382462,4.424130517812848 50.853897319621396,4.424569200035314 50.853712273791274,4.424965869682409 50.853492662091924,4.425313739626496 50.853242241681336,4.425606857716382 50.85296529686303,4.425840208620283 50.852666565811866,4.426009799639535 50.85235115953155,4.426112729024779 50.85202447442911,4.426147235625696 50.8516921))"
49,"POLYGON((4.343484239834728 50.853132899999984,4.343473815057686 50.85299893497777,4.34344264112286 50.852866259732714,4.343391018252285 50.852736152016355,4.343319443602423 50.85260986486378,4.343228606476282 50.85248861452515,4.343119381685041 50.852373568751226,4.342992821123146 50.852265835545545,4.342850143637998 50.852166452491836,4.342692723291771 50.85207637675954,4.342522076128454 50.85199647588343,4.342339845573516 50.851927519406715,4.342147786606818 50.85187017146781,4.3419477488612 50.85182498440242,4.341741658809503 50.85179239342254,4.341531501211586 50.85177271242378,4.3413193 50.85176613096133,4.341107098788414 50.85177271242378,4.340896941190498 50.85179239342254,4.340690851138801 50.85182498440242,4.340490813393183 50.85187017146781,4.340298754426485 50.851927519406715,4.340116523871547 50.85199647588343,4.33994587670823 50.85207637675954,4.339788456362003 50.852166452491836,4.339645778876854 50.852265835545545,4.33951921831496 50.852373568751226,4.339409993523719 50.85248861452515,4.339319156397577 50.85260986486378,4.339247581747716 50.852736152016355,4.33919595887714 50.852866259732714,4.339164784942315 50.85299893497777,4.339154360165272 50.853132899999984,4.339164784942315 50.85326686463742,4.33919595887714 50.85339953874292,4.339247581747716 50.85352964460874,4.339319156397577 50.8536559292709,4.339409993523719 50.85377717657495,4.33951921831496 50.853892218886756,4.339645778876854 50.85399994833582,4.339788456362003 50.85409932748276,4.33994587670823 50.854189399308304,4.340116523871547 50.854269296427795,4.340298754426485 50.85433824944238,4.340490813393183 50.85439559434671,4.340690851138801 50.85444077892169,4.340896941190498 50.854473368051025,4.341107098788414 50.854493047910225,4.3413193 50.8544996289879,4.341531501211586 50.854493047910225,4.341741658809503 50.854473368051025,4.3419477488612 50.85444077892169,4.342147786606818 50.85439559434671,4.342339845573516 50.85433824944238,4.342522076128454 50.854269296427795,4.342692723291771 50.854189399308304,4.342850143637998 50.85409932748276,4.342992821123146 50.85399994833582,4.343119381685041 50.853892218886756,4.343228606476282 50.85377717657495,4.343319443602423 50.8536559292709,4.343391018252285 50.85352964460874,4.34344264112286 50.85339953874292,4.343473815057686 50.85326686463742,4.343484239834728 50.853132899999984))"
50,"POLYGON((4.335839561136479 50.783463999999995,4.335717123732326 50.78287599828458,4.335358155426622 50.78232806125858,4.334787119316179 50.78185753194297,4.33404293056824 50.78149647888995,4.333176304416148 50.78126951002535,4.3322463 50.78119209492042,4.331316295583854 50.78126951002535,4.330449669431761 50.78149647888995,4.329705480683822 50.78185753194297,4.32913444457338 50.78232806125858,4.328775476267676 50.78287599828458,4.328653038863523 50.783463999999995,4.328775476267676 50.78405199432095,4.32913444457338 50.78459991114491,4.329705480683822 50.78507041286401,4.330449669431761 50.785431438320515,4.331316295583854 50.78565838698308,4.3322463 50.785735794693544,4.333176304416148 50.78565838698308,4.33404293056824 50.785431438320515,4.334787119316179 50.78507041286401,4.335358155426622 50.78459991114491,4.335717123732326 50.78405199432095,4.335839561136479 50.783463999999995))"
51,"POLYGON((4.281987124316082 50.8109604,4.280397937167428 50.8085360387749,4.2765613 50.807531798622804,4.272724662832571 50.8085360387749,4.271135475683918 50.8109604,4.272724662832571 50.81338463540427,4.2765613 50.814388749735556,4.280397937167428 50.81338463540427,4.281987124316082 50.8109604))"
52,"POLYGON((4.508424701696852 50.85474030000001,4.508379723161668 50.85419849870001,4.508245280350358 50.85366262729738,4.508022846246496 50.85313855721599,4.507714857884673 50.85263203077031,4.507324689649829 50.85214859822979,4.506856616306798 50.85169355698015,4.506315766165072 50.851271893449294,4.505708064891986 50.85088822843554,4.505040170589858 50.850546766439024,4.504319400848426 50.85025124955328,4.50355365257181 50.85000491642391,4.502751315458371 50.84981046672591,4.501921180081424 50.84967003155063,4.501072341577875 50.84958515002822,4.5002141 50.84955675244309,4.499355858422125 50.84958515002822,4.498507019918576 50.84967003155063,4.497676884541629 50.84981046672591,4.496874547428189 50.85000491642391,4.496108799151574 50.85025124955328,4.495388029410142 50.850546766439024,4.494720135108014 50.85088822843554,4.494112433834928 50.851271893449294,4.493571583693202 50.85169355698015,4.493103510350171 50.85214859822979,4.492713342115328 50.85263203077031,4.492405353753504 50.85313855721599,4.492182919649642 50.85366262729738,4.492048476838333 50.85419849870001,4.492003498303148 50.85474030000001,4.492048476838333 50.85528209500592,4.492182919649642 50.85581794780135,4.492405353753504 50.85634198777566,4.492713342115328 50.85684847393022,4.493103510350171 50.85733185775648,4.493571583693202 50.85778684399775,4.494112433834928 50.85820844863028,4.494720135108014 50.85859205342989,4.495388029410142 50.85893345652808,4.496108799151574 50.85922891840546,4.496874547428189 50.859475202820555,4.497676884541629 50.859669612227435,4.498507019918576 50.859810017295636,4.499355858422125 50.85989488021086,4.5002141 50.859923271501884,4.501072341577875 50.85989488021086,4.501921180081424 50.859810017295636,4.502751315458371 50.859669612227435,4.50355365257181 50.859475202820555,4.504319400848426 50.85922891840546,4.505040170589858 50.85893345652808,4.505708064891986 50.85859205342989,4.506315766165072 50.85820844863028,4.506856616306798 50.85778684399775,4.507324689649829 50.85733185775648,4.507714857884673 50.85684847393022,4.508022846246496 50.85634198777566,4.508245280350358 50.85581794780135,4.508379723161668 50.85528209500592,4.508424701696852 50.85474030000001))"
53,"POLYGON((4.457892827922247 50.8605199,4.457858874484171 50.86024758283404,4.457757850216274 50.85998196948838,4.457592242671312 50.85972960041416,4.457366129656659 50.859496690038895,4.457085078825167 50.85928897372083,4.456756010581057 50.85911156649291,4.456387027676617 50.858968837077704,4.455987215695536 50.8588643002789,4.45556641933569 50.85880053040281,4.455135 50.85877909784445,4.454703580664311 50.85880053040281,4.454282784304464 50.8588643002789,4.453882972323384 50.858968837077704,4.453513989418943 50.85911156649291,4.453184921174834 50.85928897372083,4.452903870343341 50.859496690038895,4.452677757328688 50.85972960041416,4.452512149783726 50.85998196948838,4.452411125515829 50.86024758283404,4.452377172077753 50.8605199,4.452411125515829 50.86079221557559,4.452512149783726 50.86105782430586,4.452677757328688 50.86131018619143,4.452903870343341 50.86154308750845,4.453184921174834 50.8617507937854,4.453513989418943 50.86192819097218,4.453882972323384 50.86207091132916,4.454282784304464 50.8621754409393,4.454703580664311 50.8622392062,4.455135 50.862260637168006,4.45556641933569 50.8622392062,4.455987215695536 50.8621754409393,4.456387027676617 50.86207091132916,4.456756010581057 50.86192819097218,4.457085078825167 50.8617507937854,4.457366129656659 50.86154308750845,4.457592242671312 50.86131018619143,4.457757850216274 50.86105782430586,4.457858874484171 50.86079221557559,4.457892827922247 50.8605199))"
54,"POLYGON((4.361865560890918 50.873510700000004,4.361864828473514 50.8734977592311,4.361862634953534 50.87348488440182,4.36185899150865 50.87347214111942,4.361853916705025 50.87345959432089,4.361847436402694 50.87344730794203,4.361839583623793 50.873435344591634,4.361830398384281 50.87342376523245,4.361819927490036 50.87341262887057,4.361808224298333 50.87340199225465,4.361795348445956 50.873391909586836,4.361781365545294 50.87338243224646,4.361766346850007 50.87337360852825,4.361750368891923 50.873365483396235,4.361733513091052 50.87335809825462,4.361715865340694 50.87335149073672,4.361697515569738 50.8733456945133,4.361678557284411 50.87334073912088,4.36165908709179 50.87333664981128,4.361639204207513 50.87333344742291,4.361619009950201 50.87333114827459,4.36159860722516 50.8733297640824,4.3615781 50.87332930189993,4.36155759277484 50.8733297640824,4.361537190049799 50.87333114827459,4.361516995792487 50.87333344742291,4.36149711290821 50.87333664981128,4.361477642715588 50.87334073912088,4.361458684430262 50.8733456945133,4.361440334659306 50.87335149073672,4.361422686908948 50.87335809825462,4.361405831108077 50.873365483396235,4.361389853149992 50.87337360852825,4.361374834454705 50.87338243224646,4.361360851554045 50.873391909586836,4.361347975701667 50.87340199225465,4.361336272509964 50.87341262887057,4.361325801615719 50.87342376523245,4.361316616376207 50.873435344591634,4.361308763597306 50.87344730794203,4.361302283294975 50.87345959432089,4.36129720849135 50.87347214111942,4.361293565046467 50.87348488440182,4.361291371526486 50.8734977592311,4.361290639109082 50.873510700000004,4.361291371526486 50.87352364076531,4.361293565046467 50.873536515583886,4.36129720849135 50.87354925884868,4.361302283294975 50.87356180562307,4.361308763597306 50.87357409197175,4.361316616376207 50.87358605528654,4.361325801615719 50.873597634605396,4.361336272509964 50.87360877092307,4.361347975701667 50.873619407491795,4.361360851554045 50.873629490110396,4.361374834454705 50.87363896740054,4.361389853149992 50.873647791068514,4.361405831108077 50.87365591615131,4.361422686908948 50.873663301245735,4.361440334659306 50.87366990871943,4.361458684430262 50.87367570490253,4.361477642715588 50.87368066025934,4.36149711290821 50.87368474953875,4.361516995792487 50.87368795190298,4.361537190049799 50.8736902510337,4.36155759277484 50.87369163521518,4.3615781 50.87369209739405,4.36159860722516 50.87369163521518,4.361619009950201 50.8736902510337,4.361639204207513 50.87368795190298,4.36165908709179 50.87368474953875,4.361678557284411 50.87368066025934,4.361697515569738 50.87367570490253,4.361715865340694 50.87366990871943,4.361733513091052 50.873663301245735,4.361750368891923 50.87365591615131,4.361766346850007 50.873647791068514,4.361781365545294 50.87363896740054,4.361795348445956 50.873629490110396,4.361808224298333 50.873619407491795,4.361819927490036 50.87360877092307,4.361830398384281 50.873597634605396,4.361839583623793 50.87358605528654,4.361847436402694 50.87357409197175,4.361853916705025 50.87356180562307,4.36185899150865 50.87354925884868,4.361862634953534 50.873536515583886,4.361864828473514 50.87352364076531,4.361865560890918 50.873510700000004))"
55,"POLYGON((4.468486712883687 50.84295,4.468233904476733 50.84194209076052,4.467500225904166 50.841032824019806,4.466357494736507 50.84031121323809,4.464917569462323 50.839847904714276,4.463321399999999 50.83968825841131,4.461725230537676 50.839847904714276,4.460285305263492 50.84031121323809,4.459142574095833 50.841032824019806,4.458408895523266 50.84194209076052,4.458156087116312 50.84295,4.458408895523266 50.84395788746695,4.459142574095833 50.844867097206425,4.460285305263492 50.84558863753074,4.461725230537676 50.846051889053314,4.463321399999999 50.84621151358374,4.464917569462323 50.846051889053314,4.466357494736507 50.84558863753074,4.467500225904166 50.844867097206425,4.468233904476733 50.84395788746695,4.468486712883687 50.84295))"
56,"POLYGON((4.350703039711948 50.83724769999999,4.350190999999999 50.83692433280518,4.349678960288051 50.83724769999999,4.350190999999999 50.83757106495415,4.350703039711948 50.83724769999999))"
57,"POLYGON((4.251197443329146 50.8980536,4.251168359834295 50.89770359294939,4.251081427994596 50.89735741806158,4.250937600253478 50.89701886822845,4.250738452417769 50.896691652878864,4.250486166392832 50.896379357328385,4.250183506277152 50.89608540348584,4.24983378807829 50.89581301234751,4.249440843382017 50.89556516869081,4.249008977372654 50.895344588354824,4.248542921664574 50.89515368846696,4.24804778246164 50.89499456094284,4.247528984612579 50.89486894955031,4.246992212175187 50.894778230789846,4.246443346140617 50.894723398801204,4.2458884 50.8947050544625,4.245333453859382 50.894723398801204,4.244784587824813 50.894778230789846,4.24424781538742 50.89486894955031,4.243729017538359 50.89499456094284,4.243233878335427 50.89515368846696,4.242767822627346 50.895344588354824,4.242335956617983 50.89556516869081,4.241943011921709 50.89581301234751,4.241593293722848 50.89608540348584,4.241290633607166 50.896379357328385,4.24103834758223 50.896691652878864,4.240839199746522 50.89701886822845,4.240695372005403 50.89735741806158,4.240608440165705 50.89770359294939,4.240579356670853 50.8980536,4.240608440165705 50.89840360441986,4.240695372005403 50.8987497715304,4.240839199746522 50.89908830877965,4.24103834758223 50.89941550728872,4.241290633607166 50.89972778247806,4.241593293722848 50.90002171332871,4.241943011921709 50.90029407984926,4.242335956617983 50.90054189833821,4.242767822627346 50.90076245405642,4.243233878335427 50.90095333095238,4.243729017538358 50.90111243811537,4.24424781538742 50.90123803266737,4.244784587824813 50.901328738843965,4.245333453859382 50.90138356305534,4.2458884 50.901401904763304,4.246443346140617 50.90138356305534,4.246992212175187 50.901328738843965,4.247528984612579 50.90123803266737,4.24804778246164 50.90111243811537,4.248542921664574 50.90095333095238,4.249008977372654 50.90076245405642,4.249440843382017 50.90054189833821,4.24983378807829 50.90029407984926,4.250183506277152 50.90002171332871,4.250486166392832 50.89972778247806,4.250738452417769 50.89941550728872,4.250937600253478 50.89908830877965,4.251081427994596 50.8987497715304,4.251168359834295 50.89840360441986,4.251197443329146 50.8980536))"
58,"POLYGON((4.408883273294519 50.861537899999995,4.408852907346454 50.861147747486825,4.408762101942936 50.86076134913804,4.408611731589643 50.860382426320186,4.408403244435276 50.8600146284932,4.408138648325102 50.85966149805547,4.407820491464307 50.85932643621687,4.407451837877381 50.859012670229056,4.407036237899892 50.85872322228893,4.406577693986815 50.85846088041568,4.406080622166698 50.85822817158225,4.405549809512896 50.85802733736087,4.404990368041436 50.85786031231783,4.40440768547951 50.85772870536638,4.403807373378718 50.85763378425762,4.403195213072751 50.85757646335983,4.4025771 50.8575572948438,4.401958986927249 50.85757646335983,4.401346826621283 50.85763378425762,4.40074651452049 50.85772870536638,4.400163831958564 50.85786031231783,4.399604390487105 50.85802733736087,4.399073577833303 50.85822817158225,4.398576506013185 50.85846088041568,4.398117962100108 50.85872322228893,4.39770236212262 50.859012670229056,4.397333708535694 50.85932643621687,4.397015551674897 50.85966149805547,4.396750955564724 50.8600146284932,4.396542468410358 50.860382426320186,4.396392098057064 50.86076134913804,4.396301292653547 50.861147747486825,4.396270926705482 50.861537899999995,4.396301292653547 50.86192804924859,4.396392098057064 50.86231443792905,4.396542468410358 50.86269334504643,4.396750955564724 50.86306112174411,4.397015551674897 50.86341422643572,4.397333708535694 50.86374925890077,4.39770236212262 50.864062993016454,4.398117962100108 50.86435240781065,4.398576506013185 50.864614716537965,4.399073577833303 50.864847393499254,4.399604390487105 50.8650481983471,4.400163831958564 50.865215197644,4.40074651452049 50.86534678346617,4.401346826621283 50.86544168887444,4.401958986927249 50.86549900010392,4.4025771 50.86551816535536,4.403195213072751 50.86549900010392,4.403807373378718 50.86544168887444,4.40440768547951 50.86534678346617,4.404990368041436 50.865215197644,4.405549809512896 50.8650481983471,4.406080622166698 50.864847393499254,4.406577693986815 50.864614716537965,4.407036237899892 50.86435240781065,4.407451837877381 50.864062993016454,4.407820491464307 50.86374925890077,4.408138648325102 50.86341422643572,4.408403244435276 50.86306112174411,4.408611731589643 50.86269334504643,4.408762101942936 50.86231443792905,4.408852907346454 50.86192804924859,4.408883273294519 50.861537899999995))"
59,"POLYGON((4.41444529868252 50.884270900000004,4.4102322 50.88161282728981,4.406019101317479 50.884270900000004,4.4102322 50.88692882106653,4.41444529868252 50.884270900000004))"
60,"POLYGON((4.344552933225263 50.8216813,4.344512964370544 50.82116732640073,4.344393442728308 50.82065829707216,4.344195519357306 50.820159114486216,4.343921100367798 50.81967458643587,4.343572828564664 50.819209379718345,4.343154057995752 50.81876797517113,4.342668821650568 50.81835462449428,4.342121792620369 50.81797330927614,4.341518239093755 50.81762770261781,4.340863973621123 50.81732113372752,4.340165297136631 50.817056555826596,4.33942893827676 50.81683651767787,4.338661988579867 50.816663139011496,4.337871834190789 50.816538090086105,4.337066084728236 50.81646257558298,4.336252499999999 50.81643732298936,4.335438915271762 50.81646257558298,4.334633165809208 50.816538090086105,4.33384301142013 50.816663139011496,4.333076061723237 50.81683651767787,4.332339702863367 50.817056555826596,4.331641026378875 50.81732113372752,4.330986760906242 50.81762770261781,4.330383207379628 50.81797330927614,4.329836178349431 50.81835462449428,4.329350942004245 50.81876797517113,4.328932171435334 50.819209379718345,4.3285838996322 50.81967458643587,4.328309480642692 50.820159114486216,4.32811155727169 50.82065829707216,4.327992035629454 50.82116732640073,4.327952066774734 50.8216813,4.327992035629454 50.82219526794177,4.32811155727169 50.82270428051532,4.328309480642692 50.823203435892566,4.3285838996322 50.82368792732617,4.328932171435334 50.82415308942606,4.329350942004245 50.82459444306939,4.329836178349431 50.8250077385123,4.330383207379628 50.82538899628907,4.330986760906242 50.82573454550602,4.331641026378875 50.826041059162385,4.332339702863367 50.82630558615943,4.333076061723237 50.82652557969051,4.33384301142013 50.826698921740146,4.334633165809208 50.82682394345685,4.335438915271762 50.82689944120494,4.336252499999999 50.82692468814108,4.337066084728236 50.82689944120494,4.337871834190789 50.82682394345685,4.338661988579867 50.826698921740146,4.33942893827676 50.82652557969051,4.340165297136631 50.82630558615943,4.340863973621123 50.826041059162385,4.341518239093755 50.82573454550602,4.342121792620369 50.82538899628907,4.342668821650568 50.8250077385123,4.343154057995752 50.82459444306939,4.343572828564664 50.82415308942606,4.343921100367798 50.82368792732617,4.344195519357306 50.823203435892566,4.344393442728308 50.82270428051532,4.344512964370544 50.82219526794177,4.344552933225263 50.8216813))"
61,"POLYGON((4.444316005057458 50.8962476,4.444282022962561 50.89600261433292,4.44418110920663 50.895765071200735,4.444016330003072 50.895542188398714,4.443792692084607 50.89534073836452,4.443516990576218 50.89516684237013,4.443197602528729 50.895025784492205,4.442844232386343 50.89492185101759,4.442467617122024 50.89485820016887,4.442079199999999 50.894836766112256,4.441690782877976 50.89485820016887,4.441314167613657 50.89492185101759,4.440960797471272 50.895025784492205,4.440641409423782 50.89516684237013,4.440365707915394 50.89534073836452,4.440142069996928 50.895542188398714,4.439977290793371 50.895765071200735,4.439876377037438 50.89600261433292,4.439842394942542 50.8962476,4.439876377037438 50.896492584378294,4.439977290793371 50.89673012379958,4.440142069996928 50.89695300091616,4.440365707915394 50.89715444397615,4.440641409423782 50.89732833254872,4.440960797471272 50.89746938345245,4.441314167613657 50.89757331124161,4.441690782877976 50.89763695837943,4.442079199999999 50.89765839114727,4.442467617122024 50.89763695837943,4.442844232386343 50.89757331124161,4.443197602528729 50.89746938345245,4.443516990576218 50.89732833254872,4.443792692084607 50.89715444397615,4.444016330003072 50.89695300091616,4.44418110920663 50.89673012379958,4.444282022962561 50.896492584378294,4.444316005057458 50.8962476))"
62,"POLYGON((4.387743273048958 50.900545,4.387736278486867 50.90041586875934,4.38771532741247 50.90028733923252,4.387680517509347 50.90016001069097,4.387632011077335 50.9000344768114,4.387570034275813 50.89991132290758,4.387494876069237 50.89979112320096,4.387406886879863 50.8996744381431,4.387306476953909 50.899561811802016,4.387194114448799 50.89945376932502,4.387070323250402 50.899350814489615,4.38693568053043 50.899253427354054,4.386790814055396 50.89916206201842,4.386636399259678 50.899077144506734,4.386473156096337 50.89899907077995,4.386301845680358 50.89892820488909,4.386123266739976 50.898864877277255,4.38593825189265 50.89880938323833,4.385747663763003 50.898761981539565,4.385552390960875 50.898722893214575,4.385353343938212 50.898692300532296,4.385151450744115 50.89867034614681,4.384947652697854 50.89865713243186,4.3847429 50.89865272100333,4.384538147302144 50.89865713243186,4.384334349255884 50.89867034614681,4.384132456061788 50.898692300532296,4.383933409039124 50.898722893214575,4.383738136236996 50.898761981539565,4.383547548107349 50.89880938323833,4.383362533260023 50.898864877277255,4.383183954319642 50.89892820488909,4.383012643903661 50.89899907077995,4.382849400740321 50.899077144506734,4.382694985944604 50.89916206201842,4.38255011946957 50.899253427354054,4.382415476749596 50.899350814489615,4.382291685551199 50.89945376932502,4.38217932304609 50.899561811802016,4.382078913120136 50.8996744381431,4.381990923930762 50.89979112320096,4.381915765724186 50.89991132290758,4.381853788922664 50.9000344768114,4.381805282490653 50.90016001069097,4.38177047258753 50.90028733923252,4.381749521513132 50.90041586875934,4.38174252695104 50.900545,4.381749521513132 50.900674130882535,4.38177047258753 50.90080265934167,4.381805282490653 50.900929986125846,4.381853788922664 50.9010555175911,4.381915765724186 50.901178668468646,4.381990923930762 50.90129886459338,4.382078913120136 50.901415545580484,4.38217932304609 50.901528167437775,4.382291685551199 50.90163620510146,4.382415476749596 50.90173915488371,4.38255011946957 50.90183653682039,4.382694985944604 50.901927896908255,4.382849400740321 50.90201280922105,4.383012643903661 50.90209087789468,4.383183954319642 50.902161738972225,4.383362533260023 50.902225062100264,4.383547548107349 50.90228055206843,4.383738136236996 50.90232795018533,4.383933409039124 50.90236703548403,4.384132456061788 50.902397625752,4.384334349255884 50.90241957838011,4.384538147302144 50.90243279102737,4.3847429 50.90243720209777,4.384947652697854 50.90243279102737,4.385151450744115 50.90241957838011,4.385353343938212 50.902397625752,4.385552390960875 50.90236703548403,4.385747663763003 50.90232795018533,4.38593825189265 50.90228055206843,4.386123266739976 50.902225062100264,4.386301845680358 50.902161738972225,4.386473156096337 50.90209087789468,4.386636399259678 50.90201280922105,4.386790814055396 50.901927896908255,4.38693568053043 50.90183653682039,4.387070323250402 50.90173915488371,4.387194114448799 50.90163620510146,4.387306476953909 50.901528167437775,4.387406886879863 50.901415545580484,4.387494876069237 50.90129886459338,4.387570034275813 50.901178668468646,4.387632011077335 50.9010555175911,4.387680517509347 50.900929986125846,4.38771532741247 50.90080265934167,4.387736278486867 50.900674130882535,4.387743273048958 50.900545))"
63,"POLYGON((4.409843172323312 50.7953754,4.40984017047359 50.79533919458346,4.409831197813316 50.79530338581345,4.409816352648836 50.795268366019705,4.409795797626876 50.79523451888862,4.409769757952559 50.79520221525937,4.409738518922007 50.795171809060854,4.409702422796574 50.795143633433725,4.409661865052966 50.79511799708039,4.409617290050307 50.79509518088246,4.409569186161656 50.79507543482329,4.409518080423282 50.79505897524885,4.40946453276035 50.795045982497214,4.409409129852261 50.795036598922664,4.409352478704869 50.79503092733577,4.409295199999999 50.79502902987701,4.40923792129513 50.79503092733577,4.409181270147738 50.795036598922664,4.409125867239648 50.795045982497214,4.409072319576716 50.79505897524885,4.409021213838344 50.79507543482329,4.408973109949692 50.79509518088246,4.408928534947033 50.79511799708039,4.408887977203425 50.795143633433725,4.408851881077992 50.795171809060854,4.40882064204744 50.79520221525937,4.408794602373123 50.79523451888862,4.408774047351163 50.795268366019705,4.408759202186682 50.79530338581345,4.408750229526409 50.79533919458346,4.408747227676686 50.7953754,4.408750229526409 50.795411605388495,4.408759202186682 50.795447414075596,4.408774047351163 50.79548243373516,4.408794602373123 50.79551628068671,4.40882064204744 50.79554858409889,4.408851881077992 50.79557899005229,4.408887977203425 50.79560716541695,4.408928534947033 50.795632801501974,4.408973109949692 50.79565561743744,4.409021213838344 50.79567536325148,4.409072319576716 50.795691822608866,4.409125867239648 50.795704815180954,4.409181270147738 50.79571419862135,4.40923792129513 50.79571987012531,4.409295199999999 50.795721767556046,4.409352478704869 50.79571987012531,4.409409129852261 50.79571419862135,4.40946453276035 50.795704815180954,4.409518080423282 50.795691822608866,4.409569186161656 50.79567536325148,4.409617290050307 50.79565561743744,4.409661865052966 50.795632801501974,4.409702422796574 50.79560716541695,4.409738518922007 50.79557899005229,4.409769757952559 50.79554858409889,4.409795797626876 50.79551628068671,4.409816352648836 50.79548243373516,4.409831197813316 50.795447414075596,4.40984017047359 50.795411605388495,4.409843172323312 50.7953754))"
64,"POLYGON((4.316121670168441 50.856054500000006,4.31550351334685 50.854092668307025,4.313743151654561 50.852429443068836,4.311108584201506 50.85131807843907,4.3080009 50.85092781279719,4.304893215798493 50.85131807843907,4.302258648345439 50.852429443068836,4.300498286653149 50.854092668307025,4.29988012983156 50.856054500000006,4.300498286653149 50.858016249168344,4.302258648345439 50.859679275174436,4.304893215798493 50.860790440572096,4.3080009 50.861180623689336,4.311108584201506 50.860790440572096,4.313743151654561 50.859679275174436,4.31550351334685 50.858016249168344,4.316121670168441 50.856054500000006))"
65,"POLYGON((4.386861817092718 50.849266,4.386850556790883 50.8490941118129,4.386816852804654 50.8489233971695,4.386760935366435 50.84875502224317,4.386683186449027 50.848590137236876,4.386584137156372 50.84842986852531,4.386464464095575 50.848275310959366,4.386324984754987 50.84812752038584,4.386166651919934 50.84798750643313,4.385990547164229 50.847856225612695,4.385797873461919 50.84773457478301,4.38558994696976 50.84762338502098,4.385368188036528 50.847523415942774,4.385134111500599 50.84743535051274,4.384889316342062 50.847359790376004,4.384635474760071 50.84729725174681,4.38437432075002 50.84724816188051,4.384107638258606 50.84721285615356,4.383837248997659 50.84719157577137,4.383564999999999 50.847184466119764,4.383292751002341 50.84719157577137,4.383022361741394 50.84721285615356,4.382755679249979 50.84724816188051,4.382494525239928 50.84729725174681,4.382240683657938 50.847359790376004,4.3819958884994 50.84743535051274,4.381761811963471 50.847523415942774,4.381540053030239 50.84762338502098,4.38133212653808 50.84773457478301,4.381139452835771 50.847856225612695,4.380963348080065 50.84798750643313,4.380805015245013 50.84812752038584,4.380665535904424 50.848275310959366,4.380545862843627 50.84842986852531,4.380446813550973 50.848590137236876,4.380369064633564 50.84875502224317,4.380313147195345 50.8489233971695,4.380279443209117 50.8490941118129,4.380268182907281 50.849266,4.380279443209117 50.84943788755373,4.380313147195345 50.84960860031427,4.380369064633564 50.84977697215961,4.380446813550973 50.84994185297084,4.380545862843627 50.8501021164877,4.380665535904424 50.85025666800097,4.380805015245013 50.850404451828986,4.380963348080065 50.850544458527324,4.381139452835771 50.85067573178242,4.38133212653808 50.85079737494216,4.381540053030239 50.850908557138844,4.381761811963471 50.851008518962686,4.3819958884994 50.851096577647205,4.382240683657938 50.851172131731275,4.382494525239928 50.85123466516576,4.382755679249979 50.85128375083699,4.383022361741394 50.85131905348297,4.383292751002341 50.8513403319823,4.383564999999999 50.85134744100052,4.383837248997659 50.8513403319823,4.384107638258606 50.85131905348297,4.38437432075002 50.85128375083699,4.384635474760071 50.85123466516576,4.384889316342062 50.851172131731275,4.385134111500599 50.851096577647205,4.385368188036528 50.851008518962686,4.38558994696976 50.850908557138844,4.385797873461919 50.85079737494216,4.385990547164229 50.85067573178242,4.386166651919934 50.850544458527324,4.386324984754987 50.850404451828986,4.386464464095575 50.85025666800097,4.386584137156372 50.8501021164877,4.386683186449027 50.84994185297084,4.386760935366435 50.84977697215961,4.386816852804654 50.84960860031427,4.386850556790883 50.84943788755373,4.386861817092718 50.849266))"
